IndexName,Date,Close,EPS,P/E,P/B,Div Yield %
NIFTY 50,15-Apr-03,951.2,73,12.99,2.09,3.01
NIFTY 50,11-Apr-03,949.8,73,12.97,2.09,3.02
NIFTY 50,10-Apr-03,962.2,73,13.14,2.11,2.98
NIFTY 50,09-Apr-03,1004.85,73,13.73,2.21,2.85
NIFTY 50,08-Apr-03,1018.1,73,13.91,2.24,2.81
NIFTY 50,07-Apr-03,1031.5,73,14.09,2.26,2.78
NIFTY 50,04-Apr-03,1016.95,73,13.89,2.23,2.82
NIFTY 50,03-Apr-03,1009.15,73,13.78,2.22,2.84
NIFTY 50,02-Apr-03,999.4,73,13.65,2.19,2.87
NIFTY 50,01-Apr-03,984.3,73,13.44,2.16,2.91
NIFTY 50,31-Mar-03,978.2,73,13.36,2.15,2.93
NIFTY 50,28-Mar-03,1000.6,73,13.67,2.2,2.86
NIFTY 50,27-Mar-03,1002.7,73,13.69,2.2,2.86
NIFTY 50,26-Mar-03,1013.85,73,13.85,2.23,2.83
NIFTY 50,25-Mar-03,1011.3,73,13.81,2.22,2.83
NIFTY 50,24-Mar-03,1013.9,73,13.85,2.23,2.83
NIFTY 50,22-Mar-03,1037.15,73,14.17,2.28,2.76
NIFTY 50,21-Mar-03,1030.55,73,14.08,2.26,2.78
NIFTY 50,20-Mar-03,1025.25,73,14,2.25,2.79
NIFTY 50,19-Mar-03,1003.9,73,13.71,2.2,2.85
NIFTY 50,17-Mar-03,993,74,13.51,2.18,2.63
NIFTY 50,13-Mar-03,999.65,74,13.6,2.19,2.61
NIFTY 50,12-Mar-03,1001.7,73,13.63,2.2,2.61
NIFTY 50,11-Mar-03,1014.55,73,13.81,2.23,2.57
NIFTY 50,10-Mar-03,1006.7,73,13.7,2.21,2.59
NIFTY 50,07-Mar-03,1017.1,73,13.84,2.23,2.57
NIFTY 50,06-Mar-03,1031.25,74,14.03,2.26,2.53
NIFTY 50,05-Mar-03,1040.7,73,14.16,2.28,2.51
NIFTY 50,04-Mar-03,1046.6,73,14.24,2.3,2.5
NIFTY 50,03-Mar-03,1058.85,74,14.36,2.32,2.47
NIFTY 50,28-Feb-03,1063.4,74,14.42,2.33,2.46
NIFTY 50,27-Feb-03,1052.95,74,14.28,2.3,2.49
NIFTY 50,26-Feb-03,1049.65,74,14.24,2.3,2.5
NIFTY 50,25-Feb-03,1055.55,74,14.32,2.31,2.48
NIFTY 50,24-Feb-03,1070.15,74,14.51,2.34,2.45
NIFTY 50,21-Feb-03,1066.15,74,14.46,2.33,2.46
NIFTY 50,20-Feb-03,1065.6,74,14.45,2.33,2.46
NIFTY 50,19-Feb-03,1064.3,74,14.43,2.33,2.46
NIFTY 50,18-Feb-03,1059.3,74,14.37,2.32,2.47
NIFTY 50,17-Feb-03,1058.2,74,14.35,2.31,2.48
NIFTY 50,14-Feb-03,1036,74,14.05,2.27,2.53
NIFTY 50,12-Feb-03,1044.45,74,14.17,2.28,2.51
NIFTY 50,11-Feb-03,1048,74,14.21,2.29,2.5
NIFTY 50,10-Feb-03,1048.6,74,14.22,2.29,2.5
NIFTY 50,07-Feb-03,1057.5,74,14.34,2.31,2.48
NIFTY 50,06-Feb-03,1063.6,74,14.42,2.33,2.46
NIFTY 50,05-Feb-03,1047.4,74,14.21,2.29,2.5
NIFTY 50,04-Feb-03,1054.8,74,14.31,2.31,2.48
NIFTY 50,03-Feb-03,1055.3,74,14.31,2.31,2.48
NIFTY 50,31-Jan-03,1041.85,74,14.13,2.28,2.51
NIFTY 50,30-Jan-03,1034.6,74,14.03,2.26,2.53
NIFTY 50,29-Jan-03,1037.2,74,14.07,2.27,2.53
NIFTY 50,28-Jan-03,1046.2,74,14.19,2.29,2.5
NIFTY 50,27-Jan-03,1037.65,74,14.07,2.27,2.52
NIFTY 50,24-Jan-03,1056.05,74,14.32,2.31,2.48
NIFTY 50,23-Jan-03,1070.9,74,14.52,2.34,2.45
NIFTY 50,22-Jan-03,1082.9,74,14.69,2.37,2.42
NIFTY 50,21-Jan-03,1077.9,74,14.62,2.36,2.43
NIFTY 50,20-Jan-03,1076.35,74,14.6,2.35,2.43
NIFTY 50,17-Jan-03,1086.5,74,14.74,2.38,2.41
NIFTY 50,16-Jan-03,1088.35,74,14.76,2.38,2.41
NIFTY 50,15-Jan-03,1085,74,14.72,2.37,2.41
NIFTY 50,14-Jan-03,1078.95,74,14.63,2.36,2.43
NIFTY 50,13-Jan-03,1073.75,74,14.56,2.35,2.44
NIFTY 50,10-Jan-03,1080.25,74,14.65,2.36,2.43
NIFTY 50,09-Jan-03,1097.35,74,14.88,2.4,2.39
NIFTY 50,08-Jan-03,1089.35,74,14.77,2.38,2.41
