"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY 50","09 Aug 2024","22.67","4.11","1.21"
"NIFTY 50","08 Aug 2024","22.44","4.06","1.25"
"NIFTY 50","07 Aug 2024","22.61","4.09","1.25"
"NIFTY 50","06 Aug 2024","22.3","4.04","1.23"
"NIFTY 50","05 Aug 2024","22.38","4.05","1.22"
"NIFTY 50","02 Aug 2024","23.09","4.17","1.19"
"NIFTY 50","01 Aug 2024","23.45","4.22","1.19"
"NIFTY 50","31 Jul 2024","23.4","4.21","1.19"
"NIFTY 50","30 Jul 2024","23.31","4.19","1.19"
"NIFTY 50","29 Jul 2024","23.4","4.19","1.18"
"NIFTY 50","26 Jul 2024","23.4","4.19","1.2"
"NIFTY 50","25 Jul 2024","23.03","4.11","1.22"
"NIFTY 50","24 Jul 2024","23.05","4.11","1.22"
"NIFTY 50","23 Jul 2024","23.11","4.12","1.22"
"NIFTY 50","22 Jul 2024","23.28","4.15","1.2"
"NIFTY 50","19 Jul 2024","23.31","4.16","1.24"
