date,symbol,weight,in_index,source
2008-04-01,RELIANCE,11.56461,1.0,historic_data_figshare
2008-04-01,RELINFRA,1.04042,1.0,historic_data_figshare
2008-04-01,RPL,2.47099,1.0,historic_data_figshare
2008-04-01,SAIL,2.69108,1.0,historic_data_figshare
2008-04-01,SATYAMCOMP,0.93037,1.0,historic_data_figshare
2008-04-01,SBIN,3.55142,1.0,historic_data_figshare
2008-04-01,SIEMENS,0.73029,1.0,historic_data_figshare
2008-04-01,STER,1.78071,1.0,historic_data_figshare
2008-04-01,SUNPHARMA,0.89036,1.0,historic_data_figshare
2008-04-01,SUZLON,1.39056,1.0,historic_data_figshare
2008-04-01,TATACOMM,0.5102,1.0,historic_data_figshare
2008-04-01,TATAMOTORS,0.84034,1.0,historic_data_figshare
2008-04-01,TATAPOWER,0.90036,1.0,historic_data_figshare
2008-04-01,TATASTEEL,1.78071,1.0,historic_data_figshare
2008-04-01,TCS,2.78111,1.0,historic_data_figshare
2008-04-01,UNITECH,1.57063,1.0,historic_data_figshare
2008-04-01,WIPRO,2.22089,1.0,historic_data_figshare
2008-04-01,ZEEL,0.37015,1.0,historic_data_figshare
2008-04-30,ABB,0.77969,1.0,historic_data_figshare
2008-04-30,ACC,0.45982,1.0,historic_data_figshare
2008-04-30,AMBUJACEM,0.55978,1.0,historic_data_figshare
2008-04-30,BHARTIARTL,5.47781,1.0,historic_data_figshare
2008-04-30,BHEL,2.9988,1.0,historic_data_figshare
2008-04-30,BPCL,0.47981,1.0,historic_data_figshare
2008-04-30,CAIRN,1.41943,1.0,historic_data_figshare
2008-04-30,CIPLA,0.52979,1.0,historic_data_figshare
2008-04-30,DLF,3.86845,1.0,historic_data_figshare
2008-04-30,DRREDDY,0.33986,1.0,historic_data_figshare
2008-04-30,GAIL,1.19952,1.0,historic_data_figshare
2008-04-30,GRASIM,0.70972,1.0,historic_data_figshare
2008-04-30,HCLTECH,0.61975,1.0,historic_data_figshare
2008-04-30,HDFC,2.55898,1.0,historic_data_figshare
2008-04-30,HDFCBANK,1.7393,1.0,historic_data_figshare
2008-04-30,HEROMOTOCO,0.54978,1.0,historic_data_figshare
2008-04-30,HINDALCO,0.76969,1.0,historic_data_figshare
2008-04-30,HINDUNILVR,1.7493,1.0,historic_data_figshare
2008-04-30,ICICIBANK,3.14874,1.0,historic_data_figshare
2008-04-30,IDEA,0.88964,1.0,historic_data_figshare
2008-04-30,INFY,3.22871,1.0,historic_data_figshare
2008-04-30,ITC,2.66893,1.0,historic_data_figshare
2008-04-30,LT,2.81887,1.0,historic_data_figshare
2008-04-30,M&M,0.52979,1.0,historic_data_figshare
2008-04-30,MARUTI,0.68972,1.0,historic_data_figshare
2008-04-30,NATIONALUM,0.92963,1.0,historic_data_figshare
2008-04-30,NTPC,5.21791,1.0,historic_data_figshare
2008-04-30,ONGC,7.10716,1.0,historic_data_figshare
2008-04-30,PNB,0.55978,1.0,historic_data_figshare
