date,sentiment_mean,positive_count,negative_count,article_count,source
2017-06-05,-0.31020570727586205,19,39,58,historic_data_news_sentiment
2017-06-06,-0.2676971915,31,55,86,historic_data_news_sentiment
2017-06-07,-0.164497092985782,88,123,211,historic_data_news_sentiment
2017-06-08,-0.11556819138827838,122,151,273,historic_data_news_sentiment
2017-06-09,-0.20215226924884794,86,131,217,historic_data_news_sentiment
2017-06-10,-0.23573726013333332,6,9,15,historic_data_news_sentiment
2017-06-11,-0.0643483347826087,22,24,46,historic_data_news_sentiment
2017-06-12,-0.07488880093564357,95,107,202,historic_data_news_sentiment
2017-06-13,-0.108705675,105,134,239,historic_data_news_sentiment
2017-06-14,-0.20884541879638008,86,135,221,historic_data_news_sentiment
2017-06-15,-0.30799085947878785,57,108,165,historic_data_news_sentiment
2017-06-16,-0.08435851539306358,80,93,173,historic_data_news_sentiment
2017-06-17,-0.28433029269117643,24,44,68,historic_data_news_sentiment
2017-06-18,0.30360277757777776,30,15,45,historic_data_news_sentiment
2017-06-19,-0.06032840159116022,84,97,181,historic_data_news_sentiment
2017-06-20,-0.07413808844827587,54,62,116,historic_data_news_sentiment
2017-06-21,-0.12377063971844661,90,116,206,historic_data_news_sentiment
2017-06-22,-0.03689770259776536,86,93,179,historic_data_news_sentiment
2017-06-23,-0.1613933365220588,58,78,136,historic_data_news_sentiment
2017-06-24,0.14040010540425532,27,20,47,historic_data_news_sentiment
2017-06-25,-0.26404226196875,11,21,32,historic_data_news_sentiment
2017-06-26,-0.05720608275903615,40,43,83,historic_data_news_sentiment
2017-06-27,0.08701405176842106,105,85,190,historic_data_news_sentiment
2017-06-28,-0.07635942624365483,91,106,197,historic_data_news_sentiment
2017-06-29,0.0002088963900000046,100,100,200,historic_data_news_sentiment
2017-06-30,0.1592228343203125,75,53,128,historic_data_news_sentiment
2017-07-01,0.08267435769565218,63,52,115,historic_data_news_sentiment
2017-07-02,0.11417539291428572,59,46,105,historic_data_news_sentiment
2017-07-03,0.004837669870270268,93,92,185,historic_data_news_sentiment
2017-07-04,-0.09211976206179774,82,96,178,historic_data_news_sentiment
2017-07-05,-0.05878707848623853,52,57,109,historic_data_news_sentiment
2017-07-06,-0.17648434160696516,82,119,201,historic_data_news_sentiment
2017-07-07,-0.028993965898550723,67,71,138,historic_data_news_sentiment
2017-07-08,-0.03880747679545455,41,47,88,historic_data_news_sentiment
2017-07-09,0.1681472846849315,43,30,73,historic_data_news_sentiment
2017-07-10,-0.25102941158490566,38,68,106,historic_data_news_sentiment
2017-07-11,-0.1027222741,44,56,100,historic_data_news_sentiment
2017-07-12,-0.13056962372560976,72,92,164,historic_data_news_sentiment
2017-07-13,-0.13313089284210525,99,129,228,historic_data_news_sentiment
2017-07-14,0.05952203625490197,81,72,153,historic_data_news_sentiment
2017-07-15,-0.17398278906666667,12,18,30,historic_data_news_sentiment
2017-07-16,0.16374070311428573,21,14,35,historic_data_news_sentiment
2017-07-17,-0.026729882129213484,87,91,178,historic_data_news_sentiment
2017-07-18,-0.11170423394545453,72,93,165,historic_data_news_sentiment
