date,call_oi,put_oi,pcr,nifty_spot,ticks,source,source_file
2023-08-03,123.90090090090091,160.57657657657657,1.1746690760990992,17742.68153153153,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-08-05,102.83783783783784,143.7927927927928,0.9020797668558559,18307.496396396396,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-08-06,222.72972972972974,210.33333333333334,0.9808728977477478,18778.13738738739,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-09-01,90.48648648648648,129.06306306306305,0.9045335667117117,18172.081981981984,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-09-02,176.55855855855856,166.63063063063063,1.0736553476036037,17914.044144144144,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-09-03,210.67567567567568,179.13513513513513,0.8097039088018019,17701.737837837838,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-09-05,120.72972972972973,121.81981981981981,0.9023978200990991,18345.37072072072,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-09-06,161.53153153153153,83.27927927927928,0.7111875692792793,18667.95900900901,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-10-01,140.9009009009009,81.21621621621621,0.6441161200270271,17998.02927927928,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-10-02,71.07207207207207,79.90990990990991,0.8668075192342343,17868.293243243243,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-10-03,104.41441441441441,78.7927927927928,0.71387624809009,17442.461711711712,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-10-04,96.63063063063063,101.94594594594595,1.020043523936937,17701.586936936936,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-10-05,151.99099099099098,144.5045045045045,0.7888019893783783,18310.338288288287,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-10-07,131.07207207207207,101.28828828828829,0.7572881003513514,19430.147747747746,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-11-01,151.87387387387386,92.06306306306307,0.6516972884954955,17983.111711711714,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-11-04,116.990990990991,107.66666666666667,1.0373407276666666,17766.013513513513,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-11-05,224.5818181818182,180.66363636363636,0.8136681660272727,18357.157727272726,110,historic_data_nifty_oi,nifty_oi_ data.csv
