date,nifty_pe,nifty_pb,nifty_dividend_yield,nifty_close,nifty_eps,source,source_file
1999-06-21,18.17,3.15,0.89,1202.3,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-06-22,18.35,3.18,0.85,1214.3,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-06-23,18.03,3.12,0.97,1193.15,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-06-24,17.85,3.09,0.98,1181.3,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-06-25,17.79,3.08,0.97,1177.0,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-06-28,18.02,3.12,0.95,1192.2,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-06-29,18.0,3.12,0.95,1191.3,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-06-30,17.91,3.11,1.22,1187.7,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-01,17.84,3.1,1.22,1183.2,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-02,18.06,3.14,1.2,1197.85,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-05,18.55,3.22,1.17,1230.25,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-06,18.72,3.25,1.16,1241.25,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-07,18.75,3.26,1.2,1243.7,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-08,18.76,3.26,1.2,1244.05,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-09,18.91,3.28,1.18,1254.0,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-12,19.83,3.44,1.13,1315.35,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-13,19.92,3.46,1.12,1321.45,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-14,20.18,3.5,1.18,1335.15,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-07-15,19.92,3.46,1.19,1317.7,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
