symbol,bse_symbol,company_name,source
BANKINDIA,BANKINDIA,Bank of India,historic_data_archive7
AMANTA,AMANTA,Amanta Healthcare Limited,historic_data_archive7
RACE,RACE,Race Eco Chain Limited,historic_data_archive7
WEWORK,WEWORK,WeWork India Management Limited,historic_data_archive7
CHAMBLFERT,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,historic_data_archive7
THANGAMAYL,THANGAMAYL,Thangamayil Jewellery Limited,historic_data_archive7
ELECTCAST,ELECTCAST,Electrosteel Castings Limited,historic_data_archive7
KESORAMIND,KESORAMIND,Kesoram Industries Limited,historic_data_archive7
ANIKINDS,ANIKINDS,Anik Industries Limited,historic_data_archive7
RENUKA,RENUKA,Shree Renuka Sugars Limited,historic_data_archive7
AAKASH,NAN,Aakash Exploration Services Limited,historic_data_archive7
PARADEEP,PARADEEP,Paradeep Phosphates Limited,historic_data_archive7
DRREDDY,DRREDDY,Dr. Reddy's Laboratories Limited,historic_data_archive7
STLTECH,STLTECH,Sterlite Technologies Limited,historic_data_archive7
MUFIN,MUFIN,Mufin Green Finance Limited,historic_data_archive7
DCMNVL,DCMNVL,DCM Nouvelle Limited,historic_data_archive7
KRSNAA,KRSNAA,Krsnaa Diagnostics Limited,historic_data_archive7
MBEL,MBEL,M & B Engineering Limited,historic_data_archive7
SANSTAR,SANSTAR,Sanstar Limited,historic_data_archive7
ABCOTS,ABCOTS,A B Cotspin India Limited,historic_data_archive7
SAMHI,SAMHI,Samhi Hotels Limited,historic_data_archive7
GREENPANEL,GREENPANEL,Greenpanel Industries Limited,historic_data_archive7
SCODATUBES,SCODATUBES,Scoda Tubes Limited,historic_data_archive7
ICICIBANK,ICICIBANK,ICICI Bank Limited,historic_data_archive7
OMAXAUTO,OMAXAUTO,Omax Autos Limited,historic_data_archive7
JAIBALAJI,JAIBALAJI,Jai Balaji Industries Limited,historic_data_archive7
TATACHEM,TATACHEM,Tata Chemicals Limited,historic_data_archive7
INDNIPPON,INDNIPPON,India Nippon Electricals Limited,historic_data_archive7
IDFCFIRSTB,IDFCFIRSTB,IDFC First Bank Limited,historic_data_archive7
HEXT,HEXT,Hexaware Technologies Limited,historic_data_archive7
OBEROIRLTY,OBEROIRLTY,Oberoi Realty Limited,historic_data_archive7
LLOYDSENGG,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,historic_data_archive7
HINDPETRO,HINDPETRO,Hindustan Petroleum Corporation Limited,historic_data_archive7
KOLTEPATIL,KOLTEPATIL,Kolte - Patil Developers Limited,historic_data_archive7
UTIAMC,UTIAMC,UTI Asset Management Company Limited,historic_data_archive7
INDUSINDBK,INDUSINDBK,IndusInd Bank Limited,historic_data_archive7
PPAP,PPAP,PPAP Automotive Limited,historic_data_archive7
NBCC,NBCC,NBCC (India) Limited,historic_data_archive7
NUCLEUS,NUCLEUS,Nucleus Software Exports Limited,historic_data_archive7
VCL,NAN,Vaxtex Cotfab Limited,historic_data_archive7
AMRUTANJAN,AMRUTANJAN,Amrutanjan Health Care Limited,historic_data_archive7
SREEL,SREEL,Sreeleathers Limited,historic_data_archive7
