date,fii_net,dii_net,nifty_pcr,source,variant,dii_buy,dii_sell,fii_buy,fii_sell,granularity,fii_idx_fut_long,is_fo_monthly_expiry,fii_net_raw,fii_net_settlement_adj,dii_net_raw,dii_net_settlement_adj,fii_fut_long_short_ratio,fii_idx_fut_short,fii_idx_put_oi,fii_idx_call_oi
2007-06-15,-44.78,363.86,,historic_data_fii_dii,combined,865.58,501.72,1947.69,1992.47,daily,,False,-44.78,-44.78,363.86,363.86,,,,
2007-06-18,-88.36,370.0,,historic_data_fii_dii,combined,778.67,408.67,1571.05,1659.41,daily,,False,-88.36,-88.36,370.0,370.0,,,,
2007-06-19,171.71,-32.98,,historic_data_fii_dii,combined,769.13,802.11,2061.81,1890.1,daily,,False,171.71,171.71,-32.98,-32.98,,,,
2007-06-20,242.29,104.13,,historic_data_fii_dii,combined,894.26,790.13,2543.91,2301.62,daily,,False,242.29,242.29,104.13,104.13,,,,
2007-06-21,144.49,147.71,,historic_data_fii_dii,combined,1005.19,857.48,2328.05,2183.56,daily,,False,144.49,144.49,147.71,147.71,,,,
2007-06-22,-28.23,512.3,,historic_data_fii_dii,combined,1314.72,802.42,2235.18,2263.41,daily,,False,-28.23,-28.23,512.3,512.3,,,,
2007-06-25,19.84,179.23,,historic_data_fii_dii,combined,737.57,558.34,2672.02,2652.18,daily,,False,19.84,19.84,179.23,179.23,,,,
2007-06-26,-241.46,199.49,,historic_data_fii_dii,combined,885.6,686.11,1812.99,2054.45,daily,,False,-241.46,-241.46,199.49,199.49,,,,
2007-06-27,-567.33,244.1,,historic_data_fii_dii,combined,748.75,504.65,2059.39,2626.72,daily,,False,-567.33,-567.33,244.1,244.1,,,,
2007-06-28,-28.23,199.49,,historic_data_fii_dii,combined,1145.29,1071.78,2768.23,3166.34,daily,,True,-398.11,-28.23,73.51,199.49,,,,
2007-06-29,558.59,161.66,,historic_data_fii_dii,combined,1119.86,958.2,2654.42,2095.83,daily,,False,558.59,558.59,161.66,161.66,,,,
2007-07-05,143.58,74.57,,historic_data_fii_dii,combined,1645.69,1571.12,900.11,756.53,daily,,False,143.58,143.58,74.57,74.57,,,,
2007-07-06,-287.17,283.81,,historic_data_fii_dii,combined,1037.22,753.41,1412.65,1699.82,daily,,False,-287.17,-287.17,283.81,283.81,,,,
2007-07-08,-325.68,116.04,,historic_data_fii_dii,combined,725.62,609.58,2195.64,2521.32,daily,,False,-325.68,-325.68,116.04,116.04,,,,
2007-07-09,384.68,-99.43,,historic_data_fii_dii,combined,846.88,946.31,2173.45,1788.77,daily,,False,384.68,384.68,-99.43,-99.43,,,,
2007-07-11,431.41,95.32,,historic_data_fii_dii,combined,1103.07,1007.75,4197.83,3766.42,daily,,False,431.41,431.41,95.32,95.32,,,,
2007-07-12,-253.84,339.64,,historic_data_fii_dii,combined,1478.72,1139.08,4426.24,4680.08,daily,,False,-253.84,-253.84,339.64,339.64,,,,
2007-07-13,1323.52,174.37,,historic_data_fii_dii,combined,1566.33,1391.96,4470.11,3146.59,daily,,False,1323.52,1323.52,174.37,174.37,,,,
2007-07-16,306.53,-408.53,,historic_data_fii_dii,combined,826.37,1234.9,3008.72,2702.19,daily,,False,306.53,306.53,-408.53,-408.53,,,,
2007-07-17,359.06,-164.93,,historic_data_fii_dii,combined,1100.52,1265.45,3387.42,3028.36,daily,,False,359.06,359.06,-164.93,-164.93,,,,
2007-07-18,198.31,-57.49,,historic_data_fii_dii,combined,880.22,937.71,3109.15,2910.84,daily,,False,198.31,198.31,-57.49,-57.49,,,,
2007-07-19,652.08,-149.01,,historic_data_fii_dii,combined,992.07,1141.08,3449.51,2797.43,daily,,False,652.08,652.08,-149.01,-149.01,,,,
2007-07-20,1155.93,-344.48,,historic_data_fii_dii,combined,846.78,1191.26,3996.49,2840.56,daily,,False,1155.93,1155.93,-344.48,-344.48,,,,
2007-07-23,1025.57,-198.95,,historic_data_fii_dii,combined,754.52,953.47,3723.98,2698.41,daily,,False,1025.57,1025.57,-198.95,-198.95,,,,
2007-07-24,1070.71,-310.6,,historic_data_fii_dii,combined,897.87,1208.47,4171.38,3100.67,daily,,False,1070.71,1070.71,-310.6,-310.6,,,,
2007-07-25,-35.47,149.82,,historic_data_fii_dii,combined,1198.24,1048.42,3106.22,3141.69,daily,,False,-35.47,-35.47,149.82,149.82,,,,
2007-07-26,1025.57,-198.95,,historic_data_fii_dii,combined,1270.02,1414.29,4457.35,4179.31,daily,,True,278.04,1025.57,-144.27,-198.95,,,,
2007-07-27,-1475.0,727.32,,historic_data_fii_dii,combined,1970.85,1243.53,3550.83,5025.83,daily,,False,-1475.0,-1475.0,727.32,727.32,,,,
2007-07-30,-1117.35,854.32,,historic_data_fii_dii,combined,1706.87,852.55,1903.1,3020.45,daily,,False,-1117.35,-1117.35,854.32,854.32,,,,
2007-07-31,34.63,347.85,,historic_data_fii_dii,combined,1079.11,731.26,2980.16,2945.53,daily,,False,34.63,34.63,347.85,347.85,,,,
2007-08-05,-205.41,-124.54,,historic_data_fii_dii,combined,964.75,1089.29,1628.57,1833.98,daily,,False,-205.41,-205.41,-124.54,-124.54,,,,
2007-08-06,-974.78,739.0,,historic_data_fii_dii,combined,1334.84,595.84,2591.34,3566.12,daily,,False,-974.78,-974.78,739.0,739.0,,,,
2007-08-08,86.96,216.43,,historic_data_fii_dii,combined,1020.25,803.82,3005.15,2918.19,daily,,False,86.96,86.96,216.43,216.43,,,,
2007-08-10,1459.51,-142.68,,historic_data_fii_dii,combined,834.0,976.68,4281.74,2822.23,daily,,False,1459.51,1459.51,-142.68,-142.68,,,,
2007-08-11,-1356.53,283.32,,historic_data_fii_dii,combined,1223.6,940.28,3190.15,4546.68,daily,,False,-1356.53,-1356.53,283.32,283.32,,,,
2007-08-13,-559.58,137.76,,historic_data_fii_dii,combined,720.81,583.05,1593.84,2153.42,daily,,False,-559.58,-559.58,137.76,137.76,,,,
2007-08-14,-331.52,308.94,,historic_data_fii_dii,combined,765.69,456.75,1464.92,1796.44,daily,,False,-331.52,-331.52,308.94,308.94,,,,
2007-08-16,-3108.45,1398.9,,historic_data_fii_dii,combined,2156.08,757.18,2404.91,5513.36,daily,,False,-3108.45,-3108.45,1398.9,1398.9,,,,
2007-08-17,-3535.76,1944.48,,historic_data_fii_dii,combined,2677.53,733.05,2544.48,6080.24,daily,,False,-3535.76,-3535.76,1944.48,1944.48,,,,
2007-08-20,-648.93,142.03,,historic_data_fii_dii,combined,686.26,544.23,2084.93,2733.86,daily,,False,-648.93,-648.93,142.03,142.03,,,,
2007-08-21,-138.24,826.84,,historic_data_fii_dii,combined,1413.43,586.59,2235.03,2373.27,daily,,False,-138.24,-138.24,826.84,826.84,,,,
2007-08-22,-636.19,547.29,,historic_data_fii_dii,combined,1115.9,568.61,1911.78,2547.97,daily,,False,-636.19,-636.19,547.29,547.29,,,,
2007-08-23,274.64,530.72,,historic_data_fii_dii,combined,1268.56,737.84,3254.95,2980.31,daily,,False,274.64,274.64,530.72,530.72,,,,
2007-08-24,-274.69,400.71,,historic_data_fii_dii,combined,1090.16,689.45,1404.72,1679.41,daily,,False,-274.69,-274.69,400.71,400.71,,,,
2007-08-27,695.35,193.32,,historic_data_fii_dii,combined,1074.77,881.45,2053.46,1358.11,daily,,False,695.35,695.35,193.32,193.32,,,,
2007-08-28,390.2,-79.32,,historic_data_fii_dii,combined,641.52,720.84,2458.12,2067.92,daily,,False,390.2,390.2,-79.32,-79.32,,,,
2007-08-29,-163.73,65.48,,historic_data_fii_dii,combined,890.95,825.47,2415.39,2579.12,daily,,False,-163.73,-163.73,65.48,65.48,,,,
2007-08-30,274.64,193.32,,historic_data_fii_dii,combined,2184.74,1831.78,4032.67,4596.33,daily,,True,-563.66,274.64,352.96,193.32,,,,
2007-08-31,547.09,212.4,,historic_data_fii_dii,combined,1262.79,1050.39,2874.13,2327.04,daily,,False,547.09,547.09,212.4,212.4,,,,
2007-09-04,493.36,0.0,,historic_data_fii_dii,combined,0.0,0.0,1423.75,930.39,daily,,False,493.36,493.36,0.0,0.0,,,,
2007-09-05,-300.02,-113.11,,historic_data_fii_dii,combined,779.03,892.14,1685.79,1985.81,daily,,False,-300.02,-300.02,-113.11,-113.11,,,,
2007-09-07,841.64,-236.85,,historic_data_fii_dii,combined,746.89,983.74,2758.44,1916.8,daily,,False,841.64,841.64,-236.85,-236.85,,,,
2007-09-08,27.23,72.14,,historic_data_fii_dii,combined,1071.72,999.58,2483.86,2456.63,daily,,False,27.23,27.23,72.14,72.14,,,,
2007-09-10,1416.72,-529.38,,historic_data_fii_dii,combined,1216.27,1745.65,4384.91,2968.19,daily,,False,1416.72,1416.72,-529.38,-529.38,,,,
2007-09-11,34.99,-0.53,,historic_data_fii_dii,combined,21.6,22.13,129.47,94.48,daily,,False,34.99,34.99,-0.53,-0.53,,,,
2007-09-13,6.29,-35.91,,historic_data_fii_dii,combined,1006.04,1041.95,2346.89,2340.6,daily,,False,6.29,6.29,-35.91,-35.91,,,,
2007-09-14,1286.03,-260.42,,historic_data_fii_dii,combined,976.99,1237.41,3477.32,2191.29,daily,,False,1286.03,1286.03,-260.42,-260.42,,,,
2007-09-17,94.34,-140.57,,historic_data_fii_dii,combined,672.7,813.27,2146.26,2051.92,daily,,False,94.34,94.34,-140.57,-140.57,,,,
2007-09-18,23.38,-232.93,,historic_data_fii_dii,combined,920.99,1153.92,2924.34,2900.96,daily,,False,23.38,23.38,-232.93,-232.93,,,,
2007-09-19,2457.62,-328.15,,historic_data_fii_dii,combined,1686.85,2015.0,5767.81,3310.19,daily,,False,2457.62,2457.62,-328.15,-328.15,,,,
2007-09-20,1627.44,-564.28,,historic_data_fii_dii,combined,1018.2,1582.48,4596.36,2968.92,daily,,False,1627.44,1627.44,-564.28,-564.28,,,,
2007-09-21,762.13,-277.68,,historic_data_fii_dii,combined,1442.87,1720.55,3716.81,2954.68,daily,,False,762.13,762.13,-277.68,-277.68,,,,
2007-09-24,1190.53,-670.44,,historic_data_fii_dii,combined,1494.45,2164.89,4796.16,3605.63,daily,,False,1190.53,1190.53,-670.44,-670.44,,,,
2007-09-25,1496.14,-516.43,,historic_data_fii_dii,combined,1084.74,1601.17,4442.69,2946.55,daily,,False,1496.14,1496.14,-516.43,-516.43,,,,
2007-09-26,727.99,-701.43,,historic_data_fii_dii,combined,1141.46,1842.89,3622.56,2894.57,daily,,False,727.99,727.99,-701.43,-701.43,,,,
2007-09-27,1190.53,-564.28,,historic_data_fii_dii,combined,1837.79,2149.21,7256.37,5029.52,daily,,True,2226.85,1190.53,-311.42,-564.28,,,,
2007-09-28,2275.71,-100.13,,historic_data_fii_dii,combined,1435.77,1535.9,5265.73,2990.02,daily,,False,2275.71,2275.71,-100.13,-100.13,,,,
2007-10-04,349.65,0.0,,historic_data_fii_dii,combined,0.0,0.0,2232.95,1883.3,daily,,False,349.65,349.65,0.0,0.0,,,,
2007-10-05,153.27,386.44,,historic_data_fii_dii,combined,918.11,531.67,2001.36,1848.09,daily,,False,153.27,153.27,386.44,386.44,,,,
2007-10-07,583.02,-206.7,,historic_data_fii_dii,combined,773.85,980.55,3001.68,2418.66,daily,,False,583.02,583.02,-206.7,-206.7,,,,
2007-10-08,-742.3,-15.64,,historic_data_fii_dii,combined,989.81,1005.45,2748.56,3490.86,daily,,False,-742.3,-742.3,-15.64,-15.64,,,,
2007-10-09,-190.15,9.82,,historic_data_fii_dii,combined,750.45,740.63,1399.48,1589.63,daily,,False,-190.15,-190.15,9.82,9.82,,,,
2007-10-10,1462.29,-696.82,,historic_data_fii_dii,combined,1444.55,2141.37,5817.2,4354.91,daily,,False,1462.29,1462.29,-696.82,-696.82,,,,
2007-10-12,-192.12,-230.15,,historic_data_fii_dii,combined,1180.94,1411.09,2811.06,3003.18,daily,,False,-192.12,-192.12,-230.15,-230.15,,,,
2007-10-15,2868.59,-281.11,,historic_data_fii_dii,combined,1688.71,1969.82,7138.65,4270.06,daily,,False,2868.59,2868.59,-281.11,-281.11,,,,
2007-10-16,-234.32,-10.05,,historic_data_fii_dii,combined,1693.31,1703.36,5665.37,5899.69,daily,,False,-234.32,-234.32,-10.05,-10.05,,,,
2007-10-17,-2012.06,285.06,,historic_data_fii_dii,combined,1811.98,1526.92,5868.28,7880.34,daily,,False,-2012.06,-2012.06,285.06,285.06,,,,
2007-10-18,-1130.59,96.02,,historic_data_fii_dii,combined,1886.24,1790.22,7066.0,8196.59,daily,,False,-1130.59,-1130.59,96.02,96.02,,,,
2007-10-19,-1750.76,186.26,,historic_data_fii_dii,combined,1758.02,1571.76,8192.74,9943.5,daily,,False,-1750.76,-1750.76,186.26,186.26,,,,
2007-10-22,-1290.86,-15.33,,historic_data_fii_dii,combined,1360.31,1375.64,5545.71,6836.57,daily,,False,-1290.86,-1290.86,-15.33,-15.33,,,,
2007-10-23,390.71,37.64,,historic_data_fii_dii,combined,1387.54,1349.9,6103.05,5712.34,daily,,False,390.71,390.71,37.64,37.64,,,,
2007-10-24,1301.87,383.23,,historic_data_fii_dii,combined,1574.37,1191.14,5885.81,4583.94,daily,,False,1301.87,1301.87,383.23,383.23,,,,
2007-10-25,-1130.59,96.02,,historic_data_fii_dii,combined,2372.68,1584.31,6922.59,7547.93,daily,,True,-625.34,-1130.59,788.37,96.02,,,,
2007-10-26,-1237.35,965.96,,historic_data_fii_dii,combined,2164.77,1198.81,3229.55,4466.9,daily,,False,-1237.35,-1237.35,965.96,965.96,,,,
2007-10-29,688.93,634.44,,historic_data_fii_dii,combined,2009.85,1375.41,4568.62,3879.69,daily,,False,688.93,688.93,634.44,634.44,,,,
2007-10-30,-389.12,-177.24,,historic_data_fii_dii,combined,1839.07,2016.31,4346.73,4735.85,daily,,False,-389.12,-389.12,-177.24,-177.24,,,,
2007-10-31,198.74,444.25,,historic_data_fii_dii,combined,1902.13,1457.88,5250.75,5052.01,daily,,False,198.74,198.74,444.25,444.25,,,,
2007-11-04,-69.96,0.0,,historic_data_fii_dii,combined,0.0,0.0,2086.5,2156.46,daily,,False,-69.96,-69.96,0.0,0.0,,,,
2007-11-05,-514.26,440.05,,historic_data_fii_dii,combined,925.82,485.77,1667.83,2182.09,daily,,False,-514.26,-514.26,440.05,440.05,,,,
2007-11-06,-26.12,237.12,,historic_data_fii_dii,combined,820.99,583.87,2132.55,2158.67,daily,,False,-26.12,-26.12,237.12,237.12,,,,
2007-11-07,99.34,-315.38,,historic_data_fii_dii,combined,937.56,1252.94,2831.4,2732.06,daily,,False,99.34,99.34,-315.38,-315.38,,,,
2007-11-09,256.59,-444.75,,historic_data_fii_dii,combined,750.4,1195.15,2214.55,1957.96,daily,,False,256.59,256.59,-444.75,-444.75,,,,
2007-11-10,794.78,-420.11,,historic_data_fii_dii,combined,1383.12,1803.23,5961.99,5167.21,daily,,False,794.78,794.78,-420.11,-420.11,,,,
2007-11-12,387.27,341.31,,historic_data_fii_dii,combined,1593.63,1252.32,4049.74,3662.47,daily,,False,387.27,387.27,341.31,341.31,,,,
2007-11-13,-332.84,264.15,,historic_data_fii_dii,combined,1779.09,1514.94,4770.2,5103.04,daily,,False,-332.84,-332.84,264.15,264.15,,,,
2007-11-14,163.02,567.04,,historic_data_fii_dii,combined,1708.16,1141.12,4769.91,4606.89,daily,,False,163.02,163.02,567.04,567.04,,,,
2007-11-15,-152.83,585.82,,historic_data_fii_dii,combined,1889.36,1303.54,3914.47,4067.3,daily,,False,-152.83,-152.83,585.82,585.82,,,,
2007-11-16,-363.14,239.72,,historic_data_fii_dii,combined,1195.58,955.86,3503.69,3866.83,daily,,False,-363.14,-363.14,239.72,239.72,,,,
2007-11-19,-371.04,-63.45,,historic_data_fii_dii,combined,1352.24,1415.69,3818.32,4189.36,daily,,False,-371.04,-371.04,-63.45,-63.45,,,,
2007-11-20,-1800.68,463.95,,historic_data_fii_dii,combined,1681.08,1217.13,4414.79,6215.47,daily,,False,-1800.68,-1800.68,463.95,463.95,,,,
2007-11-21,-2007.7,630.06,,historic_data_fii_dii,combined,1600.51,970.45,3208.09,5215.79,daily,,False,-2007.7,-2007.7,630.06,630.06,,,,
2007-11-22,-2487.71,1341.15,,historic_data_fii_dii,combined,2241.49,900.34,1889.01,4376.72,daily,,False,-2487.71,-2487.71,1341.15,1341.15,,,,
2007-11-23,-541.88,525.86,,historic_data_fii_dii,combined,1274.19,748.33,2271.55,2813.43,daily,,False,-541.88,-541.88,525.86,525.86,,,,
2007-11-26,50.4,274.06,,historic_data_fii_dii,combined,980.58,706.52,3019.5,2969.1,daily,,False,50.4,50.4,274.06,274.06,,,,
2007-11-27,-498.35,298.33,,historic_data_fii_dii,combined,1262.29,963.96,3408.27,3906.62,daily,,False,-498.35,-498.35,298.33,298.33,,,,
2007-11-28,-978.96,331.82,,historic_data_fii_dii,combined,1259.43,927.61,3192.91,4171.87,daily,,False,-978.96,-978.96,331.82,331.82,,,,
2007-11-29,-541.88,331.82,,historic_data_fii_dii,combined,1974.7,1368.45,5155.11,6268.07,daily,,True,-1112.96,-541.88,606.25,331.82,,,,
2007-11-30,1072.07,688.34,,historic_data_fii_dii,combined,1948.94,1260.6,7242.97,6170.9,daily,,False,1072.07,1072.07,688.34,688.34,,,,
2007-12-04,-173.58,0.0,,historic_data_fii_dii,combined,0.0,0.0,1658.77,1832.35,daily,,False,-173.58,-173.58,0.0,0.0,,,,
2007-12-06,335.3,-80.86,,historic_data_fii_dii,combined,702.49,783.35,2017.16,1681.86,daily,,False,335.3,335.3,-80.86,-80.86,,,,
2007-12-07,614.08,28.86,,historic_data_fii_dii,combined,1069.96,1041.1,3533.91,2919.83,daily,,False,614.08,614.08,28.86,28.86,,,,
